Date (dd/mm/yyyy)	Time (h:m:s)	Counter1	Counter2	Counter3	Counter4	Counter5	Counter6
9/2/2016	16:20:38	0	0	0	0	0	0
9/2/2016	16:30:0	0	374	374	374	374	374
9/2/2016	16:45:0	0	599	599	599	599	599
9/2/2016	17:0:0	192	600	600	600	600	600
9/2/2016	17:15:0	31	599	599	599	599	599
9/2/2016	17:30:0	0	600	600	600	600	600
9/2/2016	17:45:0	0	599	599	599	599	599
9/2/2016	18:0:0	0	600	600	600	600	600
9/2/2016	18:15:0	0	599	599	599	599	599
9/2/2016	18:30:0	0	599	599	599	599	599
9/2/2016	18:45:0	0	600	600	600	600	600
9/2/2016	19:0:0	0	599	599	599	599	599
9/2/2016	19:15:0	0	600	600	600	600	600
9/2/2016	19:30:0	0	599	599	599	599	599
9/2/2016	19:45:0	0	600	600	600	600	600
9/2/2016	20:0:0	0	599	599	599	599	599
9/2/2016	20:15:0	0	600	600	600	600	600
9/2/2016	20:30:0	0	599	599	599	599	599
9/2/2016	20:45:0	0	599	599	599	599	599
9/2/2016	21:0:0	0	600	600	600	600	600
9/2/2016	21:15:0	0	599	599	599	599	599
9/2/2016	21:30:0	0	600	600	600	600	600
9/2/2016	21:45:0	0	599	599	599	599	599
9/2/2016	22:0:0	0	600	600	600	600	600
9/2/2016	22:15:0	0	599	599	599	599	599
9/2/2016	22:30:0	0	600	600	600	600	600
9/2/2016	22:45:0	0	599	599	599	599	599
9/2/2016	23:0:0	0	599	599	599	599	599
9/2/2016	23:15:0	0	600	600	600	600	600
9/2/2016	23:30:0	0	599	599	599	599	599
9/2/2016	23:45:0	0	600	600	600	600	600
10/2/2016	0:0:0	0	599	599	599	599	599
10/2/2016	0:15:0	0	600	600	600	600	600
10/2/2016	0:30:0	0	599	599	599	599	599
10/2/2016	0:45:0	0	600	600	600	600	600
10/2/2016	1:0:0	0	599	599	599	599	599
10/2/2016	1:15:0	0	599	599	599	599	599
10/2/2016	1:30:0	0	600	600	600	600	600
10/2/2016	1:45:0	0	599	599	599	599	599
10/2/2016	2:0:0	0	600	600	600	600	600
10/2/2016	2:15:0	0	599	599	599	599	599
10/2/2016	2:30:0	0	600	600	600	600	600
10/2/2016	2:45:0	0	599	599	599	599	599
10/2/2016	3:0:0	0	600	600	600	600	600
10/2/2016	3:15:0	0	599	599	599	599	599
10/2/2016	3:30:0	0	599	599	599	599	599
10/2/2016	3:45:0	0	600	600	600	600	600
10/2/2016	4:0:0	0	599	599	599	599	599
10/2/2016	4:15:0	0	600	600	600	600	600
10/2/2016	4:30:0	0	599	599	599	599	599
10/2/2016	4:45:0	0	600	600	600	600	600
10/2/2016	5:0:0	0	599	599	599	599	599
10/2/2016	5:15:0	0	600	600	600	600	600
10/2/2016	5:30:0	0	599	599	599	599	599
10/2/2016	5:45:0	0	600	600	600	600	600
10/2/2016	6:0:0	0	599	599	599	599	599
10/2/2016	6:15:0	0	599	599	599	599	599
10/2/2016	6:30:0	0	600	600	600	600	600
10/2/2016	6:45:0	0	599	599	599	599	599
10/2/2016	7:0:0	0	600	600	600	600	600
10/2/2016	7:15:0	0	599	599	599	599	599
10/2/2016	7:30:0	0	600	600	600	600	600
10/2/2016	7:45:0	0	599	599	599	599	599
10/2/2016	8:0:0	0	600	600	600	600	600
10/2/2016	8:15:0	0	599	599	599	599	599
10/2/2016	8:30:0	0	599	599	599	599	599
10/2/2016	8:45:0	0	600	600	600	600	600
10/2/2016	9:0:0	0	599	599	599	599	599
10/2/2016	9:15:0	3	600	600	600	600	600
10/2/2016	9:30:0	306	599	599	599	599	599
